Filename,Error_m,Pred_U,Pred_V,GT_U,GT_V
__EPszp5486MewfwSMqmSQ,37.742475,-122.404157,.png,2.0935,-64.00,64.00,-59.00,81.00
__vWqKayHTqgyH6OFfHMAA,37.760353,-122.437154,.png,6.5981,64.00,-120.89,91.00,-72.00
__zZxyUHz9Ip3MmXF2tY6Q,37.784604,-122.397970,.png,2.2500,-106.67,-49.78,-88.00,-46.00
_0Ud0q5JrXcYKIpS8GZ0KA,37.776165,-122.403530,.png,4.3997,78.22,-163.56,98.00,-132.00
_1K1RVk7o2IyBeI76JBUmQ,37.754505,-122.399731,.png,0.7209,149.33,-120.89,146.00,-126.00
_1mNXV3JyhPuBbQk-xHABw,37.779935,-122.399929,.png,5.5213,-7.11,-21.33,-1.00,25.00
_6BKf5mOcUagfsoyWTdfOg,37.737270,-122.421105,.png,2.6432,-21.33,21.33,-9.00,40.00
_6cxUBsjqDIyAdZ1NXClMQ,37.765994,-122.431508,.png,9.6108,35.56,-177.78,-31.00,-131.00
_07_RTN7dYw_7gfSukcbQA,37.784624,-122.414595,.png,13.5806,-7.11,-120.89,-107.00,-64.00
5Spwg8leNz1mNBCY5-1ChQ,37.761766,-122.434577,.png,6.7043,-177.78,92.44,-152.00,143.00
6jyPcOCa2Jr1IVEoJMq4tA,37.784076,-122.434127,.png,24.8272,78.22,92.44,-126.00,142.00
48E3l0ywkGh8XL3RFMD6-Q,37.784707,-122.398900,.png,58.7361,-220.44,192.00,146.00,-144.00
HhbfOqn21asrY5tbMSI5UQ,37.739147,-122.432899,.png,51.9556,192.00,-163.56,-139.00,126.00
M5YAJkCxsn8GnumIlrq07Q,37.768652,-122.403403,.png,22.6125,64.00,78.22,-115.00,146.00
Ozt9TOxhba1Vb9Lz_ZasXw,37.752252,-122.445309,.png,55.7511,192.00,-220.44,-109.00,143.00
PfSQUNslqa9E06aZIFz88A,37.783072,-122.427089,.png,53.7596,163.56,192.00,-140.00,-147.00
PTCvLZGpch1Yq5LkO5BqeQ,37.789980,-122.398524,.png,57.4512,-220.44,-206.22,119.00,142.00
QOo11eR4zD5WF-1uoJKLZA,37.743058,-122.417590,.png,40.9529,21.33,-177.78,137.00,149.00
S1g5DUD39-7LQ7IfqHkSHA,37.742422,-122.443793,.png,55.5462,-220.44,-220.44,93.00,130.00
